Disease,Subgroup,Age_Group,RRR_guard,Flagged,Severity
Hypertension,total,young,0.7067,False,OK
Hypertension,total,middle,0.6167,False,OK
Hypertension,total,elderly,0.4633,False,OK
Hypertension,male,young,0.6167,False,OK
Hypertension,male,middle,0.6667,False,OK
Hypertension,male,elderly,0.4633,False,OK
Hypertension,female,young,0.7033,False,OK
Hypertension,female,middle,0.62,False,OK
Hypertension,female,elderly,0.3333,False,OK
Diabetes,total,young,0.77,False,OK
Diabetes,total,middle,0.67,False,OK
Diabetes,total,elderly,0.46,False,OK
Diabetes,male,young,0.819,False,OK
Diabetes,male,middle,0.7533,False,OK
Diabetes,male,elderly,0.57,False,OK
Diabetes,female,young,0.8514,False,OK
Diabetes,female,middle,0.75,False,OK
Diabetes,female,elderly,0.4667,False,OK
Dyslipidemia,total,young,0.8033,False,OK
Dyslipidemia,total,middle,0.75,False,OK
Dyslipidemia,total,elderly,0.5267,False,OK
Dyslipidemia,male,young,0.78,False,OK
Dyslipidemia,male,middle,0.8033,False,OK
Dyslipidemia,male,elderly,0.7267,False,OK
Dyslipidemia,female,young,0.8867,False,OK
Dyslipidemia,female,middle,0.7033,False,OK
Dyslipidemia,female,elderly,0.3567,False,OK
