Disease,Subgroup,Age_Group,RRR_base,RRR_guard,Delta_RRR
Hypertension,total,young,0.5367,0.7067,0.17
Hypertension,total,middle,0.4333,0.6167,0.1834
Hypertension,total,elderly,0.3333,0.4633,0.13
Hypertension,total,overall,0.4189,0.5322,0.1133
Hypertension,total,RAG_young_vs_middle,0.1034,0.09,-0.0134
Hypertension,total,RAG_middle_vs_elderly,0.1,0.1534,0.0534
Hypertension,total,RAG_young_vs_elderly,0.2034,0.2434,0.04
Hypertension,male,young,0.53,0.6167,0.0867
Hypertension,male,middle,0.54,0.6667,0.1267
Hypertension,male,elderly,0.3533,0.4633,0.11
Hypertension,male,overall,0.4311,0.5478,0.1167
Hypertension,male,RAG_young_vs_middle,0.01,0.05,0.04
Hypertension,male,RAG_middle_vs_elderly,0.1867,0.2034,0.0167
Hypertension,male,RAG_young_vs_elderly,0.1767,0.1534,-0.0233
Hypertension,female,young,0.4967,0.7033,0.2066
Hypertension,female,middle,0.47,0.62,0.15
Hypertension,female,elderly,0.1967,0.3333,0.1366
Hypertension,female,overall,0.3878,0.5489,0.1611
Hypertension,female,RAG_young_vs_middle,0.0267,0.0833,0.0566
Hypertension,female,RAG_middle_vs_elderly,0.2733,0.2867,0.0134
Hypertension,female,RAG_young_vs_elderly,0.3,0.37,0.07
Diabetes,total,young,0.64,0.77,0.13
Diabetes,total,middle,0.47,0.67,0.2
Diabetes,total,elderly,0.2867,0.46,0.1733
Diabetes,total,overall,0.4,0.5967,0.1967
Diabetes,total,RAG_young_vs_middle,0.17,0.1,-0.07
Diabetes,total,RAG_middle_vs_elderly,0.1833,0.21,0.0267
Diabetes,total,RAG_young_vs_elderly,0.3533,0.31,-0.0433
Diabetes,male,young,0.7059,0.819,0.1131
Diabetes,male,middle,0.57,0.7533,0.1833
Diabetes,male,elderly,0.4033,0.57,0.1667
Diabetes,male,overall,0.4922,0.7011,0.2089
Diabetes,male,RAG_young_vs_middle,0.1359,0.0657,-0.0702
Diabetes,male,RAG_middle_vs_elderly,0.1667,0.1833,0.0166
Diabetes,male,RAG_young_vs_elderly,0.3026,0.249,-0.0536
Diabetes,female,young,0.6622,0.8514,0.1892
Diabetes,female,middle,0.56,0.75,0.19
Diabetes,female,elderly,0.2933,0.4667,0.1734
Diabetes,female,overall,0.4278,0.6078,0.18
Diabetes,female,RAG_young_vs_middle,0.1022,0.1014,-0.0008
Diabetes,female,RAG_middle_vs_elderly,0.2667,0.2833,0.0166
Diabetes,female,RAG_young_vs_elderly,0.3689,0.3847,0.0158
Dyslipidemia,total,young,0.7533,0.8033,0.05
Dyslipidemia,total,middle,0.5433,0.75,0.2067
Dyslipidemia,total,elderly,0.3933,0.5267,0.1334
Dyslipidemia,total,overall,0.4889,0.6467,0.1578
Dyslipidemia,total,RAG_young_vs_middle,0.21,0.0533,-0.1567
Dyslipidemia,total,RAG_middle_vs_elderly,0.15,0.2233,0.0733
Dyslipidemia,total,RAG_young_vs_elderly,0.36,0.2766,-0.0834
Dyslipidemia,male,young,0.6933,0.78,0.0867
Dyslipidemia,male,middle,0.62,0.8033,0.1833
Dyslipidemia,male,elderly,0.52,0.7267,0.2067
Dyslipidemia,male,overall,0.55,0.7178,0.1678
Dyslipidemia,male,RAG_young_vs_middle,0.0733,0.0233,-0.05
Dyslipidemia,male,RAG_middle_vs_elderly,0.1,0.0766,-0.0234
Dyslipidemia,male,RAG_young_vs_elderly,0.1733,0.0533,-0.12
Dyslipidemia,female,young,0.7467,0.8867,0.14
Dyslipidemia,female,middle,0.4933,0.7033,0.21
Dyslipidemia,female,elderly,0.26,0.3567,0.0967
Dyslipidemia,female,overall,0.4133,0.5711,0.1578
Dyslipidemia,female,RAG_young_vs_middle,0.2534,0.1834,-0.07
Dyslipidemia,female,RAG_middle_vs_elderly,0.2333,0.3466,0.1133
Dyslipidemia,female,RAG_young_vs_elderly,0.4867,0.53,0.0433
