,Total,Young (19–44),Middle (45–64),Elderly (65+),p-value (K-W)
N,14361,5813,5434,3114,
Age (years),49.6 ± 16.6,32.8 ± 7.5,54.5 ± 5.7,72.3 ± 5.0,<0.001
BMI (kg/m²),23.4 ± 3.3,23.0 ± 3.6,23.6 ± 3.2,23.8 ± 3.1,<0.001
Waist circumference (cm),81.4 ± 10.2,78.6 ± 10.4,82.1 ± 9.5,85.7 ± 9.2,<0.001
Body weight (kg),62.8 ± 11.7,64.2 ± 12.8,62.9 ± 11.1,60.2 ± 9.9,<0.001
Sodium intake (mg),2998.2 ± 1556.9,3028.2 ± 1550.8,3071.5 ± 1555.8,2814.4 ± 1556.4,<0.001
Potassium intake (mg),2595.1 ± 1128.5,2381.3 ± 1045.2,2793.0 ± 1129.3,2649.0 ± 1205.1,<0.001
Prevalence (%),32.2%,14.0%,34.9%,61.4%,
Female (%),61.8%,63.3%,63.1%,56.9%,
Current smoking,"1,751 (12.2%)",718 (12.4%),763 (14.0%),270 (8.7%),
Aerobic PA practice,"6,657 (46.4%)","3,244 (55.8%)","2,396 (44.1%)","1,017 (32.7%)",
Health checkup (past year),"10,391 (72.4%)","3,742 (64.4%)","4,313 (79.4%)","2,336 (75.0%)",
